Compound,TB(K),Ref.,YBP,TFP(K)Ref.,NFP,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,NFP(eq6),TFP(eq4),AD,Column1,_1,_2,_3,_4,_5,_6,_7,_8,_9
1-octanethiol,472,A,33.08,341,A,33.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33.63,340,1,,,,,,,,,,
1-nonanethiol,493,A,36.01,352,S,35.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36.48,355,3,,,,,,,,,,
1-decanethiol,513,A,39,372,S,39.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39.4,371,1,,,,,,,,,,
1-undecanethiol,531,L,41.86,382,A,41.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42.18,385,3,,,,,,,,,,
2-butanethiol,358,N,20.35,250,S,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21.23,266,16,,,,,,,,,,
2-pentanethiol,388,L,23.23,288,A,24.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24.04,284,4,,,,,,,,,,
2-methyl-2-propanethiol,337,A,18.51,249,S,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.44,255,6,,,,,,,,,,
2-methyl-1-butanethiol,391,A,23.54,292,A,25.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24.33,286,6,,,,,,,,,,
3-methyl-2-butanethiol,385,S,22.93,282,L,23.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23.74,282,0,,,,,,,,,,
cyclopentanethiol,405,N,25,298,A,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25.76,295,3,,,,,,,,,,
cyclohexanethiol,432,N,28.04,314,S,29.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.72,312,2,,,,,,,,,,
3-ethyl-3-pentanethiol,422,L,26.88,307,L,27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27.59,306,1,,,,,,,,,,
2-methyl-2-pentanethiol,397,L,24.16,293,L,25.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24.94,290,3,,,,,,,,,,
3-hexanethiol,414,L,25.98,303,L,27.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26.72,301,2,,,,,,,,,,
dimethylsulfide,309,A,16.26,237,S,16.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.78,236,1,,,,,,,,,,
diethylsulfide,365,N,21,263,A,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21.4,268,5,,,,,,,,,,
dipropylsulfide,419,A,26.54,301,A,26.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26.8,301,0,,,,,,,,,,
dibutylsulfide,462,N,31.76,333,O,32.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31.87,330,3,,,,,,,,,,
ethylmethylsulfide,340,N,18.76,255,A,19.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.22,253,2,,,,,,,,,,
tert-butylmethylsulfide,373,N,21.75,270,A,21.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22.13,272,2,,,,,,,,,,
thiacyclopentane,392,A,23.64,286,A,24.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23.97,284,2,,,,,,,,,,
thiacyclohexane,415,L,26.1,294,L,25.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26.36,298,4,,,,,,,,,,
