No,Compond Name,CAS NO.,Status,Observed,Predicted,RNF,1X,Qmax,DPSA2,IB,δtot2
201,Allyloxytrimethylsilane,18146-00-4,Test,273.15,286.86,0,3.56,0.03,115.09,0,2.97
202,Allyltrimethoxysilane,2551-83-9,Test,319.15,308.16,0,4.74,0.04,189.22,0,4.34
203,3-Chloropropyltrimethoxysilane,2530-87-2,Test,348.15,332.82,0,5.24,0.04,237.73,0,0.37
204,n-Propyltrimethoxysilane,1067-25-0,Test,298.15,303.66,0,4.74,0.04,199.05,0,5.46
205,Hexamethyldisiloxane,107-46-0,Test,270.15,277.01,0,3.71,0.02,152.48,0,7.07
206,Hexamethyldisilane,1450-14-2,Test,272.15,275.1,0,3.25,0.02,108.97,0,4.7
207,Vinyldiethylmethylsilane,18292-29-0,Test,288.15,290.13,0,3.68,0.02,88.23,0,3.49
208,Isobutyltrimethoxysilane,18395-30-7,Test,315.15,315.71,0,5.1,0.04,221.41,0,4.51
209,Phenyldimethylchlorosilane,768-33-2,Test,334.15,335.02,0,4.61,0.02,94.59,0,-2.18
210,"(N,N-Dimethylamino)triethylsilane",3550-35-4,Test,299.15,306.85,0,4.63,0.02,142.4,0,5.36
211,Vinyltriacetoxysilane,8/9/4130,Test,361.15,362.22,0,6.81,0.09,312,0,1.02
212,Ethyltriacetoxysilane,17689-77-9,Test,377.15,362.86,0,6.81,0.09,329.32,0,0.47
213,3-(Trimethylsilyl)cyclopentene,14579-08-9,Test,299.15,297.85,0,4.11,0.02,104.79,0,4.76
214,Vinyltriethylsilane,1112-54-5,Test,298.15,302.98,0,4.24,0.02,101.84,0,4.1
215,n-Octylsilane,871-92-1,Test,309.15,311.86,0,4.41,0.02,132.17,0,2.83
216,Methyl phenyldimethoxysilane,3027-21-2,Test,349.15,337.11,0,5.73,0.03,171,0,4.19
217,n-(t-Butyldimethylsilyl)-n-methyl-trifluoroacetamide,77377-52-7,Test,325.15,333.12,0.09,6.32,0.19,275.51,0,-7.23
218,2-Cyanoethyltriethoxysilane,919-31-3,Test,359.15,360.05,0,6.74,0.04,284.18,0,3.07
219,3-Glycidoxypropyltrimethoxysilane,2530-83-8,Test,383.15,360.47,0,7.26,0.04,418.76,0,4.11
220,Di-t-butylmethylchlorosilane,70892-81-8,Test,342.15,324.32,0,4.5,0.02,130.26,0,-0.39
221,Tri-n-propylchlorosilane,995-25-5,Test,349.15,337.97,0,5.18,0.02,148.3,0,0.51
222,(Diisopropylamino)trimethylsilane,17425-88-6,Test,301.15,311.24,0,4.76,0.02,152.93,0,4.94
223,1-Chlorononamethyltetrasiloxane,17905-99-6,Test,347.15,338.82,0,7.12,0.03,370.98,0,10.85
224,Tristrimethylsiloxymethylsilane,17928-28-8,Test,336.15,341.02,0,7.12,0.03,629.95,0,4.74
225,Diphenylmethylsilane,776-76-1,Test,393.15,374.14,0,6.88,0.03,126.27,0,3.45
226,Trimethyl[(1-methylethenyl)oxy]silane,1833-53-0,Test,272.15,275.01,0,3.42,0.19,130.51,0,0.95
227,"Dichloromethyl-3,3,3-trifluoropropylsilane",675-62-7,Test,288.15,302.93,0.18,4.21,0.24,226.82,0,-25.56
228,[2-(chloromethoxy)ethyl]trimethylsilane,76513-69-4,Test,319.15,316.04,0,4.06,0.16,179.98,0,-5.7
229,Iodotrimethylsilane,16029-98-4,Test,288.15,260.34,0,2,0.16,62.13,0,-4.12
230,Triphenylsilane,789-25-3,Test,416.35,430.41,0,9.45,0.17,229.58,0,1.24
231,[3-(mercapto)propyl]triethoxysilane,14814-09-6,Test,360.93,354.94,0,6.74,0.04,316.74,0,4.03
232,3-(trimethoxysilyl)-a-propanethiol,4420-74-0,Test,347,315.48,0,5.24,0.04,234.44,0,5.58
233,Hexadecamethylheptasiloxane,541-01-5,Test,406.15,400.91,0,12.24,0.03,1143.48,0,15.94
234,Gamma-aminopropylethoxysilane,919-30-2,Test,369.26,340.68,0,6.74,0.04,318.09,0,7.95
235,Dichlorodiethylsilane,1719-53-5,Test,297.15,306.49,0,3.12,0.03,69.36,0,-5.82
236,Dimethylchlorosilane,1066-35-9,Test,245.15,246.65,0,1.73,0.05,45.4,0.01,-3.6
