No.,Compounds Name,Observed,Predicted,Status,nF,RDCHI,MATS1m,Mor02p,RTv
168,Ethylsilane,213,194.61 ,Test,0,1.155,0.8,8.567,2.28
169,n-Propyltrichlorosilane,310,310.64 ,Test,0,1.604,0.972,9.75,4.842
170,Trimethylfluorosilane,238,222.57 ,Test,1,1.265,0.873,10.786,3.027
171,Dimethylvinylchlorosilane,268,272.40 ,Test,0,1.43,0.912,10.975,3.935
172,Trimethylsilylisothiocyanate,308,282.38 ,Test,0,1.604,0.915,9.64,4.066
173,Methoxytrimethylsilane,243,249.29 ,Test,0,1.43,0.853,11.3,3.634
174,Diethylsilane,253,237.55 ,Test,0,1.509,0.82,11.979,3.03
175,Tetraisocyanatosilane,323,344.38 ,Test,0,2.32,0.988,4.89,4.431
176,sec-Amyltrichlorosilane,303,331.58 ,Test,0,1.817,0.956,11.384,5.847
177,Vinyltrimethoxysilane,296,290.60 ,Test,0,1.816,0.896,8.296,4.552
178,Ethoxytrimethylsilane,246,263.66 ,Test,0,1.604,0.853,10.97,4.086
179,Phenyltrichlorosilane,364,357.96 ,Test,0,2.072,0.989,10.32,6.029
180,Cyclohexyltrichlorosilane,358,362.71 ,Test,0,2.072,0.959,12.036,7.148
181,1-Trimethylsilylpropyne,270,265.58 ,Test,0,1.604,0.863,11.424,3.844
182,Hexyldichlorosilane,337,332.88 ,Test,0,2.067,0.923,15.654,4.804
183,Allyltrimethoxysilane,319,300.93 ,Test,0,1.955,0.892,8.292,4.886
184,3-Chloropropylmethyldimethoxysilane,318,317.62 ,Test,0,2.006,0.906,11.027,5.181
185,n-Propyltrimethoxysilane,298,298.64 ,Test,0,1.955,0.881,9.726,4.749
186,Hexamethyldisiloxane,270,276.46 ,Test,0,1.733,0.848,8.984,5.142
187,Hexamethyldisilazane,281,281.49 ,Test,0,1.733,0.84,11.429,5.405
188,Methyltriacetoxysilane,358,341.38 ,Test,0,2.329,0.933,8.076,5.302
189,n-Heptyltrichlorosilane,337,363.67 ,Test,0,2.25,0.943,17.493,5.676
190,Cyclopentamethylenedimethylsilane,303,300.28 ,Test,0,1.876,0.845,15.881,5.337
191,(1-Methoxy-2-propoxy)trimethylsilane,293,302.40 ,Test,0,1.985,0.867,11.606,5.034
192,Heptamethyldisilazane,300,289.49 ,Test,0,1.775,0.841,11.078,5.969
193,Vinyltriacetoxysilane,361,350.67 ,Test,0,2.402,0.937,7.497,5.758
194,(Cyclopentenyloxy)trimethylsilane,311,318.27 ,Test,0,2.119,0.873,13.153,5.282
195,Tetramethyldivinyldisiloxane,292,305.68 ,Test,0,1.969,0.867,9.186,5.921
196,Diethyldiethoxysilane,316,311.11 ,Test,0,2.084,0.866,9.239,5.81
197,Tetramethyldiethoxysiloxane,311,319.41 ,Test,0,2.248,0.87,5.281,6.326
198,p-Tolydimethylchlorosilane,340,344.22 ,Test,0,2.149,0.919,14.819,5.724
199,n-(t-Butyldimethylsilyl)-n-methyl-trifluoroacetamide,325,301.29 ,Test,3,2.195,0.916,12.761,6.609
200,Tri-n-propylchlorosilane,349,330.03 ,Test,0,2.122,0.88,14.339,5.921
201,Tris(trimethylsiloxy)boron,315,347.95 ,Test,0,2.446,0.866,8.56,7.415
202,1-Heptynyltrimethylsilane,315,332.46 ,Test,0,2.25,0.859,20.274,4.947
203,Tristrimethylsiloxymethylsilane,336,351.03 ,Test,0,2.446,0.86,8.003,8.023
204,Diphenyldichlorosilane,415,411.73 ,Test,0,2.691,0.961,14.979,7.669
205,Tetra-n-propoxysilane,368,386.06 ,Test,0,2.793,0.879,19.678,6.441
206,Diphenylmethylsilane,393,391.07 ,Test,0,2.701,0.907,15.379,7.363
207,Hexadecamethylheptasiloxane,406,402.89 ,Test,0,3.445,0.867,-0.424,8.75
